Price,Type of property,City,Region,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
182000.0,Apartment,Hergla,Hergla,119,3,1,Good condition,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
192000.0,Apartment,Le Kef,Le Kef,89,2,1,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
75000.0,Apartment,Kélibia,Kélibia,50,1,1,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1200000.0,Villa,Gammarth,La Marsa,252,3,4,New,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
756500.0,Villa,Chotrana 1,La Soukra,219,4,3,New,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no
400000.0,Apartment,Gammarth Village,La Marsa,166,3,2,New,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
775500.0,Apartment,Les Berges Du Lac 2,La Marsa,141,2,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
500000.0,Apartment,Les Berges Du Lac 2,La Marsa,100,1,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
413000.0,Apartment,Les Berges Du Lac 2,La Marsa,69,1,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no
640000.0,Apartment,Les Jardins de Carthage,Le Kram,128,2,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
170000.0,Apartment,Aouina,La Marsa,57,1,1,Good condition,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no
848000.0,Apartment,Les Jardins de Carthage,Le Kram,172,3,2,Good condition,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no
820000.0,Apartment,Les Berges Du Lac 2,La Marsa,205,3,3,Good condition,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
850000.0,Apartment,Les Berges Du Lac 1,La Marsa,335,2,2,Good condition,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
1300000.0,House,Aéroport Tunis Carthage,La Soukra,300,4,1,New,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
689500.0,Apartment,Ain Zaghouan Nord,La Marsa,198,3,3,New,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no
995000.0,Villa,Aéroport Tunis Carthage,La Soukra,244,3,1,New,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
360000.0,Apartment,La Marsa,La Marsa,120,2,2,New,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no
1650000.0,House,La Marsa,La Marsa,440,4,3,Good condition,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
360000.0,Apartment,Bhar Lazreg,La Marsa,136,3,2,New,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
590000.0,Apartment,Les Jardins de Carthage,Le Kram,185,4,3,Good condition,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
1100000.0,Apartment,Les Jardins de Carthage,Le Kram,265,4,1,New,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no
640000.0,Apartment,Chotrana 2,La Soukra,162,3,2,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no
640000.0,Apartment,Chotrana 2,La Soukra,162,3,2,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no
365000.0,Apartment,Les Berges Du Lac 2,La Marsa,67,1,1,Good condition,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
850000.0,Apartment,Les Berges Du Lac 2,La Marsa,190,3,2,Good condition,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no
760000.0,Apartment,Les Berges Du Lac 2,La Marsa,155,3,2,Good condition,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no
550000.0,Apartment,La Soukra,La Soukra,232,4,3,Good condition,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
1200000.0,Villa,Hammamet,Hammamet,680,4,5,New,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
870000.0,Villa,Hammamet,Hammamet,325,4,3,Good condition,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1500000.0,Villa,La Goulette Casino,La Goulette,970,9,6,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
585000.0,Apartment,Cité Ennasr 2,Ariana Ville,218,4,2,Good condition,yes,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
1400000.0,Villa,Cité des Juges,La Marsa,600,3,2,Good condition,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
442000.0,Apartment,Les Jardins de Carthage,Le Kram,80,1,1,New,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no
230000.0,Apartment,Aouina,La Marsa,64,1,1,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
328500.0,Apartment,Mahdia,Mahdia,73,1,1,New,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes
2100000.0,Villa,Gammarth Supérieur,La Marsa,331,5,5,New,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no
1600000.0,Apartment,Les Jardins de Carthage,Le Kram,365,4,4,New,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
575000.0,House,Cité Plein Air,Boumhel Bassatine,350,3,2,Good condition,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
500000.0,Villa,Bou Mhel,Boumhel Bassatine,400,3,1,Good condition,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
340000.0,Villa,Mansourah,Kairouan Ville,310,4,2,Good condition,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
