Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
apartment,"3,000 TND",La Marsa inLa Marsa,,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,,5-10 years old,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartment,"1,400 TND",Cité Ennasr 2 inAriana Ville,125m²,,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,,5-10 years old,
house,"1,500 TND",Sousse Ville inSousse Ville,100m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,4thstage,,
apartment,"1,400 TNDDecreased by100 TND",Cité Ennasr 2 inAriana Ville,115m²,,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,1ststage,Less than 1 year,
apartment,900 TND,Riadh al Andalous inAriana Ville,85m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,1ststage,10-20 years old,
apartment,"2,700 TND",La Marsa inLa Marsa,140m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,,
apartment,"1,800 TND",Les Jardins de Carthage inLe Kram,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,,,
apartment,"1,400 TND",Les Jardins de Carthage inLe Kram,60m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,3rdstage,5-10 years old,
apartment,"3,000 TND",Les Berges Du Lac 2 inLa Marsa,150m²,4 Pieces,3 Rooms,3 Bathrooms,New,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,,,
apartment,"1,900 TND",Ain Zaghouan Nord inLa Marsa,150m²,5 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,1ststage,5-10 years old,
apartment,"4,000 TND",La Marsa inLa Marsa,,2 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,1-5 years old,
apartment,"2,700 TND",Les Berges Du Lac 1 inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,,
