Title,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Stage,Air conditioning,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Age,uknown
Lovely apartment for rent in Les Jardins d'El Menzah 2. Small area 160 m². Lift and terrace.,"1,450 TND",Les Jardins d'El Menzah 2 inAriana Ville,160m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,6thstage,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,5-10 years old,
Rent an apartment in Cité Ennasr 2. 1 Living area. Stove.,"1,800 TND",Cité Ennasr 2 inAriana Ville,160m²,,3 Rooms,2 Bathrooms,Good condition,3rdstage,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,1-5 years old,1 Piece
Rent this apartment in Khaznadar. 2 rooms. Terrace.,900 TND,Khaznadar inLe Bardo,100m²,,2 Rooms,1 Bathroom,Good condition,1ststage,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1-5 years old,1 Piece
Apartment for rent in La Manouba. Surface area 101 m². Closed residence.,750 TND,La Manouba inLa Manouba,101m²,,2 Rooms,1 Bathroom,Good condition,4thstage,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,1-5 years old,1 Piece
"Flat for rent in Gammarth. Total area 250 m². Sea view, central heating.","3,900 TND",Gammarth inLa Marsa,250m²,4 Pieces,3 Rooms,2 Bathrooms,New,,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,1-5 years old,
"Rent an apartment in Hammamet. 3 comfortable rooms. Exceptional mountain view, thermal insulation and soundproofing.",600 TND,Hammamet inHammamet,,3 Pieces,2 Rooms,1 Bathroom,Good condition,3rdstage,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,,
Rent this apartment in Hammamet Nord. 1 lovely room. Well furnished.,"1,200 TND",Hammamet Nord inHammamet,70m²,,1 Room,1 Bathroom,New,2ndstage,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,5-10 years old,1 Piece
Great apartment for rent in Le Bardo. Total area 100 m². Equipped kitchen.,900 TND,Le Bardo inLe Bardo,100m²,,2 Rooms,1 Bathroom,Good condition,1ststage,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1-5 years old,1 Piece
Apartment for rent in Le Bardo. Total area 100 m². Large terrace.,950 TND,Le Bardo inLe Bardo,100m²,,2 Rooms,1 Bathroom,Good condition,1ststage,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1-5 years old,1 Piece
"Apartment for rent in Hammamet Sud. 2 lovely rooms. Residence with caretaker, general air conditioning.","1,500 TND",Hammamet Sud inHammamet,100m²,3 Pieces,2 Rooms,1 Bathroom,New,1ststage,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,Less than 1 year,
Apartment for rent in Les Jardins de Carthage. 2 rooms. Double glazing and central heating.,"1,750 TND",Les Jardins de Carthage inLe Kram,85m²,,2 Rooms,1 Bathroom,New,1ststage,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,Less than 1 year,1 Piece
"Very nice apartment for rent in Les Jardins de Carthage. 1 room. Secured door, Central air conditioning.","1,500 TND",Les Jardins de Carthage inLe Kram,60m²,,1 Room,1 Bathroom,New,3rdstage,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,Less than 1 year,1 Piece
"Apartment for rent in Les Berges Du Lac 2. Large area 170 m². Thermal insulation and soundproofing, Air conditioning installation.","2,300 TND",Les Berges Du Lac 2 inLa Marsa,170m²,,3 Rooms,2 Bathrooms,New,1ststage,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,Less than 1 year,
Find an apartment for rent in Les Berges Du Lac 2. 1 room. Furnished.,"2,000 TND",Les Berges Du Lac 2 inLa Marsa,70m²,,1 Room,1 Bathroom,New,2ndstage,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,1-5 years old,
Find an apartment for rent in Les Berges Du Lac 1. 2 comfortable rooms. Furnished.,"1,600 TND",Les Berges Du Lac 1 inLa Marsa,80m²,2 Pieces,1 Room,1 Bathroom,Good condition,,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,,
Apartment for rent in Hammamet Nord. Large area 100 m². Storage unit.,"1,500 TND",Hammamet Nord inHammamet,100m²,3 Pieces,2 Rooms,2 Bathrooms,New,,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Flat for rent in Hammamet Nord. 3 rooms. Dressing room.,"1,600 TND",Hammamet Nord inHammamet,120m²,3 Pieces,2 Rooms,1 Bathroom,New,,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,,
"Find an apartment for rent in Hammamet. 3 beautiful rooms. Sea view, central heating.","1,500 TND",Hammamet inHammamet,150m²,4 Pieces,3 Rooms,2 Bathrooms,New,,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for rent in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rent an apartment in La Marsa. 3 comfortable rooms. caretaker service available, General air conditioning.","1,700 TND",La Marsa inLa Marsa,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,,
Apartment for rent in Ain Zaghouan Nord. 1 room. Double glazing and reinforced door.,950 TND,Ain Zaghouan Nord inLa Marsa,85m²,2 Pieces,1 Room,1 Bathroom,Good condition,,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,,
Very nice apartment for rent in Ain Zaghouan Nord. Area of 49 m². Central heating and reinforced door.,900 TND,Ain Zaghouan Nord inLa Marsa,49m²,,1 Room,1 Bathroom,New,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,,1 Piece
Very nice apartment for rent in Gammarth Supérieur. 3 lovely rooms. Equipped kitchen.,"5,500 TNDDecreased by500 TND",Gammarth Supérieur inLa Marsa,140m²,4 Pieces,3 Rooms,3 Bathrooms,New,,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,Less than 1 year,
"Rent an apartment in Aouina. Area of 86 m². Robust door, General satellite dish system.","1,200 TND",Aouina inLa Marsa,86m²,5 Pieces,2 Rooms,1 Bathroom,New,5thstage,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,Less than 1 year,
Rent this apartment in Cité Ennasr 1. Surface area 130 m². Air conditioning system.,"1,400 TND",Cité Ennasr 1 inAriana Ville,130m²,,1 Room,1 Bathroom,New,,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,1 Piece
"Apartment for rent in Gammarth Supérieur. 1 room. Green area, Balcony.","1,800 TND",Gammarth Supérieur inLa Marsa,90m²,2 Pieces,1 Room,1 Bathroom,Good condition,,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,1-5 years old,
Very nice apartment for rent in La Soukra. 2 comfortable rooms. With lift and terrace.,"1,150 TND",La Soukra inLa Soukra,66m²,2 Pieces,1 Room,1 Bathroom,New,5thstage,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,Less than 1 year,
Apartment for rent in Gammarth. 2 rooms. New furniture.,"2,600 TND",Gammarth inLa Marsa,210m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
